,date,1. open,2. high,3. low,4. close,5. volume,Date,Time
0,2019-03-18 09:30:00,185.89,188.35,185.85,188.32,7453113.0,2019-03-18,09:30:00
1,2019-03-18 10:30:00,188.33,188.39,187.27,187.6,3804541.0,2019-03-18,10:30:00
2,2019-03-18 11:30:00,187.61,187.6523,187.13,187.28,2649126.0,2019-03-18,11:30:00
3,2019-03-18 12:30:00,187.28,187.83,187.02,187.82,2099923.0,2019-03-18,12:30:00
4,2019-03-18 13:30:00,187.81,188.2209,187.7499,187.81,2101329.0,2019-03-18,13:30:00
5,2019-03-18 14:30:00,187.82,188.0614,187.66,187.8,2711799.0,2019-03-18,14:30:00
6,2019-03-18 15:30:00,187.805,188.25,187.77,188.04,2162951.0,2019-03-18,15:30:00
7,2019-03-19 09:30:00,188.38,188.99,187.41,187.455,8168802.0,2019-03-19,09:30:00
8,2019-03-19 10:30:00,187.46400000000003,187.79,186.83,187.5263,4462078.0,2019-03-19,10:30:00
9,2019-03-19 11:30:00,187.53,188.39,187.34,188.0118,2947931.0,2019-03-19,11:30:00
10,2019-03-19 12:30:00,188.02,188.1,186.9303,187.33,3152451.0,2019-03-19,12:30:00
11,2019-03-19 13:30:00,187.31,187.38,186.84,187.14,2241576.0,2019-03-19,13:30:00
12,2019-03-19 14:30:00,187.16,187.5167,186.41,186.56,2616426.0,2019-03-19,14:30:00
13,2019-03-19 15:30:00,186.56,186.77,185.92,186.55,3830069.0,2019-03-19,15:30:00
14,2019-03-20 09:30:00,186.22,187.12,184.73,186.97,6093900.0,2019-03-20,09:30:00
15,2019-03-20 10:30:00,187.0,187.377,186.15,186.49,4848000.0,2019-03-20,10:30:00
16,2019-03-20 11:30:00,186.47,187.16,186.32,187.14,3071650.0,2019-03-20,11:30:00
17,2019-03-20 12:30:00,187.135,187.2,186.47,186.83,2095241.0,2019-03-20,12:30:00
18,2019-03-20 13:30:00,186.82,189.21,186.81,189.1854,4005719.0,2019-03-20,13:30:00
19,2019-03-20 14:30:00,189.19,189.49,188.4,188.805,4192236.0,2019-03-20,14:30:00
20,2019-03-20 15:30:00,188.805,188.88,187.87,188.155,3082052.0,2019-03-20,15:30:00
21,2019-03-21 09:30:00,190.01,193.97,189.81,193.835,13418333.0,2019-03-21,09:30:00
22,2019-03-21 10:30:00,193.84,195.1,193.77,194.41,7558016.0,2019-03-21,10:30:00
23,2019-03-21 11:30:00,194.41,195.07,194.14,194.18,4566592.0,2019-03-21,11:30:00
24,2019-03-21 12:30:00,194.17700000000002,194.9399,194.05,194.795,3127146.0,2019-03-21,12:30:00
25,2019-03-21 13:30:00,194.82,196.275,194.72,196.15,5050034.0,2019-03-21,13:30:00
26,2019-03-21 14:30:00,196.17,196.1716,195.42,195.76,4363941.0,2019-03-21,14:30:00
27,2019-03-21 15:30:00,195.775,196.32,195.05,195.05,6032531.0,2019-03-21,15:30:00
28,2019-03-22 09:30:00,195.28,197.69,194.01,195.7,14063889.0,2019-03-22,09:30:00
29,2019-03-22 10:30:00,195.71,196.14,193.78,194.378,5743659.0,2019-03-22,10:30:00
30,2019-03-22 11:30:00,194.35,194.63,192.54,192.66,5101046.0,2019-03-22,11:30:00
31,2019-03-22 12:30:00,192.63,193.44,192.0303,192.57,3178054.0,2019-03-22,12:30:00
32,2019-03-22 13:30:00,192.56,193.18,192.02,192.96,2648831.0,2019-03-22,13:30:00
33,2019-03-22 14:30:00,192.9527,193.65,192.25,192.28,3196431.0,2019-03-22,14:30:00
34,2019-03-22 15:30:00,192.26,192.29,190.78,191.06,5249451.0,2019-03-22,15:30:00
35,2019-03-25 09:30:00,191.54,191.9592,187.25,188.7082,12989985.0,2019-03-25,09:30:00
36,2019-03-25 10:30:00,188.7,190.5,188.56,190.35,5124354.0,2019-03-25,10:30:00
37,2019-03-25 11:30:00,190.365,190.95,190.01,190.56,3148621.0,2019-03-25,11:30:00
38,2019-03-25 12:30:00,190.58,190.66,188.2,188.6186,4477769.0,2019-03-25,12:30:00
39,2019-03-25 13:30:00,188.59,189.17,187.2,187.71,5370790.0,2019-03-25,13:30:00
40,2019-03-25 14:30:00,187.69,188.4,186.6,187.88,6286108.0,2019-03-25,14:30:00
41,2019-03-25 15:30:00,187.9,188.8,187.66,188.76,4253150.0,2019-03-25,15:30:00
42,2019-03-26 09:30:00,191.6,192.88,190.19,191.94,12010436.0,2019-03-26,09:30:00
43,2019-03-26 10:30:00,191.95,192.43,191.07,191.64,5258165.0,2019-03-26,10:30:00
44,2019-03-26 11:30:00,191.63,191.95,190.73,190.78,4547006.0,2019-03-26,11:30:00
45,2019-03-26 12:30:00,190.78,191.08,190.17,190.5094,3248206.0,2019-03-26,12:30:00
46,2019-03-26 13:30:00,190.51,190.53,188.165,188.165,6258253.0,2019-03-26,13:30:00
47,2019-03-26 14:30:00,188.1516,188.31,185.535,185.6,6990597.0,2019-03-26,14:30:00
48,2019-03-26 15:30:00,185.58,186.78,184.585,186.769,6429509.0,2019-03-26,15:30:00
49,2019-03-27 09:30:00,188.71,189.68,188.19,189.4965,8512859.0,2019-03-27,09:30:00
50,2019-03-27 10:30:00,189.5,189.76,187.28,187.41,4873870.0,2019-03-27,10:30:00
51,2019-03-27 11:30:00,187.39,188.38,186.55,188.29,3994604.0,2019-03-27,11:30:00
52,2019-03-27 12:30:00,188.29,189.05,187.63,188.91,2656715.0,2019-03-27,12:30:00
53,2019-03-27 13:30:00,188.92,189.35,188.68,188.88,2166403.0,2019-03-27,13:30:00
54,2019-03-27 14:30:00,188.87,189.06,188.09,188.55,2389734.0,2019-03-27,14:30:00
55,2019-03-27 15:30:00,188.55,188.87,188.2,188.47,2468619.0,2019-03-27,15:30:00
56,2019-03-28 09:30:00,188.93,189.55900000000003,187.82,188.08,5118181.0,2019-03-28,09:30:00
57,2019-03-28 10:30:00,188.08,188.825,187.99,188.11,4072864.0,2019-03-28,10:30:00
58,2019-03-28 11:30:00,188.1,188.835,187.9562,188.16,2209036.0,2019-03-28,11:30:00
59,2019-03-28 12:30:00,188.18,188.495,188.01,188.34,1807950.0,2019-03-28,12:30:00
60,2019-03-28 13:30:00,188.35,188.41,187.6501,187.7938,2046801.0,2019-03-28,13:30:00
61,2019-03-28 14:30:00,187.79,188.58,187.53,188.43,2252656.0,2019-03-28,14:30:00
62,2019-03-28 15:30:00,188.43,188.86,188.37,188.69,2108469.0,2019-03-28,15:30:00
63,2019-03-29 09:30:00,190.0,190.08,188.78,189.61,4968529.0,2019-03-29,09:30:00
64,2019-03-29 10:30:00,189.6,189.63,188.54,189.16,2746827.0,2019-03-29,10:30:00
65,2019-03-29 11:30:00,189.15,189.5993,188.95,189.26,2312995.0,2019-03-29,11:30:00
66,2019-03-29 12:30:00,189.26,189.41,189.0,189.19,1332120.0,2019-03-29,12:30:00
67,2019-03-29 13:30:00,189.18,189.54,189.11,189.51,1405593.0,2019-03-29,13:30:00
68,2019-03-29 14:30:00,189.52,189.94,189.27,189.39,2426567.0,2019-03-29,14:30:00
69,2019-03-29 15:30:00,189.4,190.0,189.32,189.94,3701789.0,2019-03-29,15:30:00
70,2019-04-01 09:30:00,191.58,191.6708,188.5631,188.94,7762499.0,2019-04-01,09:30:00
71,2019-04-01 10:30:00,188.9402,190.4,188.389,190.21,4532051.0,2019-04-01,10:30:00
72,2019-04-01 11:30:00,190.18,190.4,189.6901,190.2701,2234420.0,2019-04-01,11:30:00
73,2019-04-01 12:30:00,190.28,190.68,189.93,190.1937,1876660.0,2019-04-01,12:30:00
74,2019-04-01 13:30:00,190.18,190.83,190.1355,190.61,1833884.0,2019-04-01,13:30:00
75,2019-04-01 14:30:00,190.63,191.145,190.575,191.13,2236294.0,2019-04-01,14:30:00
76,2019-04-01 15:30:00,191.13,191.45,190.93,191.23,2893089.0,2019-04-01,15:30:00
77,2019-04-02 09:30:00,191.09,193.08,191.05,192.82,6193256.0,2019-04-02,09:30:00
78,2019-04-02 10:30:00,192.82,192.85,192.11,192.4,2622538.0,2019-04-02,10:30:00
79,2019-04-02 11:30:00,192.415,192.88,192.35,192.8647,1754891.0,2019-04-02,11:30:00
80,2019-04-02 12:30:00,192.8679,193.07,192.66,193.06,1484669.0,2019-04-02,12:30:00
81,2019-04-02 13:30:00,193.06,193.84,193.0,193.53,2744072.0,2019-04-02,13:30:00
82,2019-04-02 14:30:00,193.52,194.29,193.5,193.99,2486367.0,2019-04-02,14:30:00
83,2019-04-02 15:30:00,193.99,194.46,193.9801,194.04,2785902.0,2019-04-02,15:30:00
84,2019-04-03 09:30:00,193.39,196.0,193.15,195.9,6829831.0,2019-04-03,09:30:00
85,2019-04-03 10:30:00,195.9,196.5,195.51,195.93,3554182.0,2019-04-03,10:30:00
86,2019-04-03 11:30:00,195.93,196.45,195.79,196.138,1940920.0,2019-04-03,11:30:00
87,2019-04-03 12:30:00,196.0895,196.09,195.5558,195.7199,1524528.0,2019-04-03,12:30:00
88,2019-04-03 13:30:00,195.7028,195.77,194.74,195.335,2318962.0,2019-04-03,13:30:00
89,2019-04-03 14:30:00,195.3341,195.454,194.36,194.96,2222251.0,2019-04-03,14:30:00
90,2019-04-03 15:30:00,194.97,195.42,194.73,195.35,3646141.0,2019-04-03,15:30:00
91,2019-04-04 09:30:00,194.8,196.19,194.7608,195.312,4479972.0,2019-04-04,09:30:00
92,2019-04-04 10:30:00,195.31,196.1599,194.8,195.88,3224603.0,2019-04-04,10:30:00
93,2019-04-04 11:30:00,195.89,196.37,195.42,195.73,2051663.0,2019-04-04,11:30:00
94,2019-04-04 12:30:00,195.73,195.77,195.22,195.5,1673849.0,2019-04-04,12:30:00
95,2019-04-04 13:30:00,195.51,195.6,195.35,195.4946,1422282.0,2019-04-04,13:30:00
96,2019-04-04 14:30:00,195.49,196.09,195.49,195.67,2308310.0,2019-04-04,14:30:00
97,2019-04-04 15:30:00,195.75,195.84,193.14,195.72,2047097.0,2019-04-04,15:30:00
98,2019-04-05 09:30:00,196.45,197.1,195.93,196.385,5460546.0,2019-04-05,09:30:00
99,2019-04-05 10:30:00,196.4,196.669,196.07,196.2875,2224567.0,2019-04-05,10:30:00
100,2019-04-05 11:30:00,196.28,196.92,196.22,196.84,1728190.0,2019-04-05,11:30:00
101,2019-04-05 12:30:00,196.84,196.85,196.3671,196.57,1575296.0,2019-04-05,12:30:00
102,2019-04-05 13:30:00,196.57,196.9,196.43,196.8,1311341.0,2019-04-05,13:30:00
103,2019-04-05 14:30:00,196.8,196.96,196.65,196.93,1670724.0,2019-04-05,14:30:00
104,2019-04-05 15:30:00,196.92,197.07,196.8366,197.01,2171133.0,2019-04-05,15:30:00
105,2019-04-08 09:30:00,196.6421,197.85,196.6421,197.58,5039330.0,2019-04-08,09:30:00
106,2019-04-08 10:30:00,197.695,199.37,197.67,199.11,5093773.0,2019-04-08,10:30:00
107,2019-04-08 11:30:00,199.1,199.5,198.61,198.8,3161554.0,2019-04-08,11:30:00
108,2019-04-08 12:30:00,198.8,199.4,198.7,199.36,1952701.0,2019-04-08,12:30:00
109,2019-04-08 13:30:00,199.3659,199.96,199.26,199.9,2280988.0,2019-04-08,13:30:00
110,2019-04-08 14:30:00,199.9,200.0,199.56,199.9,2322741.0,2019-04-08,14:30:00
111,2019-04-08 15:30:00,199.89,200.22,199.81,200.08,3976845.0,2019-04-08,15:30:00
112,2019-04-09 09:30:00,200.32,202.73,199.68,202.62,11592927.0,2019-04-09,09:30:00
113,2019-04-09 10:30:00,202.62,202.85,201.71,201.9205,4296389.0,2019-04-09,10:30:00
114,2019-04-09 11:30:00,201.9333,202.2,201.77,202.0153,2479795.0,2019-04-09,11:30:00
115,2019-04-09 12:30:00,202.01,202.28,200.08,200.2,3623125.0,2019-04-09,12:30:00
116,2019-04-09 13:30:00,200.19,200.21,199.3,199.38,4600103.0,2019-04-09,13:30:00
117,2019-04-09 14:30:00,199.38,199.94,199.23,199.46,3687276.0,2019-04-09,14:30:00
118,2019-04-09 15:30:00,199.465,200.0,199.25,199.5,3272423.0,2019-04-09,15:30:00
119,2019-04-10 09:30:00,198.77,199.97,198.18,198.85,7182495.0,2019-04-10,09:30:00
120,2019-04-10 10:30:00,198.86,199.71,198.7002,199.4985,3219373.0,2019-04-10,10:30:00
121,2019-04-10 11:30:00,199.5,199.65,199.14,199.485,1612413.0,2019-04-10,11:30:00
122,2019-04-10 12:30:00,199.49,199.73,199.27,199.58,1323938.0,2019-04-10,12:30:00
123,2019-04-10 13:30:00,199.58,200.0,199.3261,199.55,2038400.0,2019-04-10,13:30:00
124,2019-04-10 14:30:00,199.55,200.45,199.37,200.35,2699451.0,2019-04-10,14:30:00
125,2019-04-10 15:30:00,200.37,200.74,200.1895,200.66,2450785.0,2019-04-10,15:30:00
126,2019-04-11 09:30:00,200.85,200.94,199.76,200.7,5522883.0,2019-04-11,09:30:00
127,2019-04-11 10:30:00,200.71,200.83,200.22,200.3,2174410.0,2019-04-11,10:30:00
128,2019-04-11 11:30:00,200.293,200.4065,199.62,200.21,2118292.0,2019-04-11,11:30:00
129,2019-04-11 12:30:00,200.21,200.31,199.85,199.87,1411504.0,2019-04-11,12:30:00
130,2019-04-11 13:30:00,199.8601,199.91,198.75,198.8,2592802.0,2019-04-11,13:30:00
131,2019-04-11 14:30:00,198.8,199.32,198.77,198.96,1684789.0,2019-04-11,14:30:00
132,2019-04-11 15:30:00,198.97,199.125,198.4431,198.95,2706595.0,2019-04-11,15:30:00
133,2019-04-12 09:30:00,199.2,200.14,197.86,198.41,7276213.0,2019-04-12,09:30:00
134,2019-04-12 10:30:00,198.43,198.6,196.21,197.285,5905723.0,2019-04-12,10:30:00
135,2019-04-12 11:30:00,197.28,197.89,197.04,197.62,2696039.0,2019-04-12,11:30:00
136,2019-04-12 12:30:00,197.62,197.97,197.56,197.8364,1836773.0,2019-04-12,12:30:00
137,2019-04-12 13:30:00,197.84,199.1,197.76,199.09900000000002,2687293.0,2019-04-12,13:30:00
138,2019-04-12 14:30:00,199.0964,199.14,198.51,198.9483,2303606.0,2019-04-12,14:30:00
139,2019-04-12 15:30:00,198.94,199.05,198.42,198.88,2686760.0,2019-04-12,15:30:00
140,2019-04-15 09:30:00,198.58,199.85,198.51,198.74,4591142.0,2019-04-15,09:30:00
141,2019-04-15 10:30:00,198.74,198.96,198.01,198.88,2219707.0,2019-04-15,10:30:00
142,2019-04-15 11:30:00,198.88,199.38,198.5,198.65,2021054.0,2019-04-15,11:30:00
143,2019-04-15 12:30:00,198.66,198.98,198.5,198.87,1240240.0,2019-04-15,12:30:00
144,2019-04-15 13:30:00,198.86,199.16,198.82,198.98,1201628.0,2019-04-15,13:30:00
145,2019-04-15 14:30:00,198.97,199.33,198.81,199.2465,1650268.0,2019-04-15,14:30:00
146,2019-04-15 15:30:00,199.24099999999999,199.3,198.9,199.23,1771546.0,2019-04-15,15:30:00
147,2019-04-16 09:30:00,199.46,201.37,199.01,201.355,6703227.0,2019-04-16,09:30:00
148,2019-04-16 10:30:00,201.36,201.36,200.05,200.125,3402145.0,2019-04-16,10:30:00
149,2019-04-16 11:30:00,200.12,200.14,199.78,199.95,1988423.0,2019-04-16,11:30:00
150,2019-04-16 12:30:00,199.95,200.04,199.565,199.57,1613656.0,2019-04-16,12:30:00
151,2019-04-16 13:30:00,199.5616,199.85,199.3548,199.8,1768742.0,2019-04-16,13:30:00
152,2019-04-16 14:30:00,199.81,200.53,198.56,199.78,6119490.0,2019-04-16,14:30:00
153,2019-04-16 15:30:00,199.77,199.77,198.77200000000002,199.25,2814651.0,2019-04-16,15:30:00
154,2019-04-17 09:30:00,199.54,201.57,198.61,201.46,8798206.0,2019-04-17,09:30:00
155,2019-04-17 10:30:00,201.49,201.92,200.91,201.56,3168506.0,2019-04-17,10:30:00
156,2019-04-17 11:30:00,201.55,202.0,201.2,201.96200000000002,2429074.0,2019-04-17,11:30:00
157,2019-04-17 12:30:00,201.98,203.1,201.93,202.75,3517498.0,2019-04-17,12:30:00
158,2019-04-17 13:30:00,202.7605,203.28,202.26,202.3,3368775.0,2019-04-17,13:30:00
159,2019-04-17 14:30:00,202.3,203.2,202.27,202.7801,2820452.0,2019-04-17,14:30:00
160,2019-04-17 15:30:00,202.79,203.38,202.75,203.135,3138592.0,2019-04-17,15:30:00
161,2019-04-18 09:30:00,203.12,203.85,202.52,203.1999,8695405.0,2019-04-18,09:30:00
162,2019-04-18 10:30:00,203.18,203.94,202.87,203.25,3922903.0,2019-04-18,10:30:00
163,2019-04-18 11:30:00,203.26,203.49,203.04,203.29,1598265.0,2019-04-18,11:30:00
164,2019-04-18 12:30:00,203.29,203.66,203.15,203.55,1454034.0,2019-04-18,12:30:00
165,2019-04-18 13:30:00,203.55,204.0,203.47,203.95,1546813.0,2019-04-18,13:30:00
166,2019-04-18 14:30:00,203.95,204.06,203.74,204.04,1623620.0,2019-04-18,14:30:00
167,2019-04-18 15:30:00,203.96,204.15,203.61,203.86,2082715.0,2019-04-18,15:30:00
168,2019-04-22 09:30:00,202.83,204.39,202.34,204.1,4891734.0,2019-04-22,09:30:00
169,2019-04-22 10:30:00,204.1,204.92,203.87,204.87,2102387.0,2019-04-22,10:30:00
170,2019-04-22 11:30:00,204.88,204.94,204.5,204.695,1235611.0,2019-04-22,11:30:00
171,2019-04-22 12:30:00,204.6951,204.71,204.23,204.33,1391234.0,2019-04-22,12:30:00
172,2019-04-22 13:30:00,204.3267,204.66,204.18,204.35,1404050.0,2019-04-22,13:30:00
173,2019-04-22 14:30:00,204.3485,204.4551,204.06,204.31,1469658.0,2019-04-22,14:30:00
174,2019-04-22 15:30:00,204.31,204.7,204.3,204.64,1399462.0,2019-04-22,15:30:00
175,2019-04-23 09:30:00,204.43,205.92,203.9,205.82,6080257.0,2019-04-23,09:30:00
176,2019-04-23 10:30:00,205.82,206.5,205.45,206.47,2981508.0,2019-04-23,10:30:00
177,2019-04-23 11:30:00,206.47,207.16,206.39,207.04,2524236.0,2019-04-23,11:30:00
178,2019-04-23 12:30:00,207.04,207.54,206.8665,207.2672,1865028.0,2019-04-23,12:30:00
179,2019-04-23 13:30:00,207.267,207.43,206.88,207.03,1712126.0,2019-04-23,13:30:00
180,2019-04-23 14:30:00,207.03,207.75,206.93,207.515,2518391.0,2019-04-23,14:30:00
181,2019-04-23 15:30:00,207.52,207.62,207.0,207.51,2392902.0,2019-04-23,15:30:00
182,2019-04-24 09:30:00,207.36,208.4,207.14,208.0617,5752446.0,2019-04-24,09:30:00
183,2019-04-24 10:30:00,208.07,208.48,207.67,207.96,2012773.0,2019-04-24,10:30:00
184,2019-04-24 11:30:00,207.97,208.3,207.51,207.69,1629657.0,2019-04-24,11:30:00
185,2019-04-24 12:30:00,207.68,207.7,207.1603,207.68,1355217.0,2019-04-24,12:30:00
186,2019-04-24 13:30:00,207.68,207.78,207.38,207.6344,1115635.0,2019-04-24,13:30:00
187,2019-04-24 14:30:00,207.63,207.98,207.12,207.31,1478345.0,2019-04-24,14:30:00
188,2019-04-24 15:30:00,207.31,207.94,207.09,207.18,1784482.0,2019-04-24,15:30:00
189,2019-04-25 09:30:00,206.83,207.76,205.1202,205.68,5781239.0,2019-04-25,09:30:00
190,2019-04-25 10:30:00,205.67,206.6,205.32,206.34,2242053.0,2019-04-25,10:30:00
191,2019-04-25 11:30:00,206.37,206.77,205.71,206.22,1634354.0,2019-04-25,11:30:00
192,2019-04-25 12:30:00,206.22,206.4097,205.5,205.94,1298449.0,2019-04-25,12:30:00
193,2019-04-25 13:30:00,205.9407,206.44,205.845,206.16,1134317.0,2019-04-25,13:30:00
194,2019-04-25 14:30:00,206.16,206.26,205.51,205.595,1461350.0,2019-04-25,14:30:00
195,2019-04-25 15:30:00,205.62,205.67,205.13,205.24,2601653.0,2019-04-25,15:30:00
196,2019-04-26 09:30:00,204.9,205.0,202.12,204.19,5390832.0,2019-04-26,09:30:00
197,2019-04-26 10:30:00,204.19,204.55,203.58,204.44,2312844.0,2019-04-26,10:30:00
198,2019-04-26 11:30:00,204.43,204.77,204.33,204.67,1528304.0,2019-04-26,11:30:00
199,2019-04-26 12:30:00,204.6705,204.81,203.875,204.05,1181854.0,2019-04-26,12:30:00
200,2019-04-26 13:30:00,204.045,204.06,203.51,203.7066,1538936.0,2019-04-26,13:30:00
201,2019-04-26 14:30:00,203.71,204.39,203.35,204.28,2075748.0,2019-04-26,14:30:00
202,2019-04-26 15:30:00,204.28,204.65,203.74,204.29,2585474.0,2019-04-26,15:30:00
203,2019-04-29 09:30:00,204.4,205.97,203.86,205.2984,5637213.0,2019-04-29,09:30:00
204,2019-04-29 10:30:00,205.31,205.68,204.81,204.9741,2935378.0,2019-04-29,10:30:00
205,2019-04-29 11:30:00,204.9716,205.07,204.765,204.995,3401956.0,2019-04-29,11:30:00
206,2019-04-29 12:30:00,204.99,205.2,204.91,205.12,2392193.0,2019-04-29,12:30:00
207,2019-04-29 13:30:00,205.12,205.1205,204.78,204.9979,1460295.0,2019-04-29,13:30:00
208,2019-04-29 14:30:00,205.0,205.2,204.8831,204.96,1586336.0,2019-04-29,14:30:00
209,2019-04-29 15:30:00,204.96,205.24,204.44,204.61,2332473.0,2019-04-29,15:30:00
